阿	tzk· 阝可 ·a
婢	butn· 女白丿十 ·bi
篦	rtrv· ⺮丿囗乂匕 ·bi
秕	xvvb· 禾匕 ·bi
筚	rvvn· ⺮匕十 ·bi
濞	koql· 氵自田丌 ·bi
蓖	ltrv· 艹丿囗乂匕 ·bi
裨	tutn· 衤白丿十 ·bi
荸	lnwh· 艹十冖子 ·bi
滗	krvm· 氵⺮毛 ·bi
髀	futn· 骨白丿十 ·bi
跸	pvvn· ⻊匕十 ·bi
秘	xhtp· 禾心丿 ·bi
拂	utf· 扌弗 ·bi
泌	khtp· 氵心丿 ·bi
匕	vb· 匕 ·bi
愎	heoh· 忄𠂉日夊 ·bi
萆	lutn· 艹白丿十 ·bi
箅	rqlc· ⺮田丌 ·bi
妣	bvvb· 女匕 ·bi
嬖	cdnb· 尸口辛女 ·bi
狴	mvvg· 犭匕土 ·bi
畀	qlc· 田丌 ·bi
庳	xutn· 广白丿十 ·bi
舭	ivvb· 舟匕 ·bi
贲	nlob· 十艹贝 ·bi
沘	kvvb· 氵匕 ·bi
觱	nfdt· 戊一口⺈用 ·bi
诐	srp· 讠皮 ·bi
赑	ooob· 贝贝贝 ·bi
鞁	trp· 革皮 ·bi
鲾	wfdq· 鱼一口田 ·bi
蓽	lqlu· 艹田艹 ·bi
蘗	lcde· 艹尸口辛木 ·bi
萞	lmjv· 艹冂人匕 ·bi
蜌	cvvg· 虫匕土 ·bi
苾	lhtp· 艹心丿 ·bi
螕	ctrv· 虫丿囗乂匕 ·bi
腷	vfdq· 月一口田 ·bi
胇	vtf· 月弗 ·bi
肸	vhns· 月八十 ·bi
袐	thtp· 衤心丿 ·bi
聛	qutn· 耳白丿十 ·bi
翍	zrp· 羽皮 ·bi
罼	yqlu· 罒田艹 ·bi
襅	tqlu· 衤田艹 ·bi
襣	toql· 衤自田丌 ·bi
繴	cdni· 尸口辛糸 ·bi
縪	iqlu· 糹田艹 ·bi
綼	iutn· 糹白丿十 ·bi
紴	irp· 糹皮 ·bi
粊	vvpm· 匕米 ·bi
粃	pvvb· 米匕 ·bi
篳	rqlu· ⺮田艹 ·bi
箆	rmjv· ⺮冂人匕 ·bi
詖	srp· 言皮 ·bi
筆	rbv· ⺮聿 ·bi
笓	rvvb· ⺮匕 ·bi
稫	xfdq· 禾一口田 ·bi
禆	futn· 礻白丿十 ·bi
豍	zutn· 豆白丿十 ·bi
皕	fufu· 一白一白 ·bi
皀	uvb· 白匕 ·bi
貏	mutn· 豸白丿十 ·bi
貱	orp· 貝皮 ·bi
痺	autn· 疒白丿十 ·bi
賁	nlob· 十艹貝 ·bi
疪	avvb· 疒匕 ·bi
疕	avb· 疒匕 ·bi
畢	qlus· 田艹 ·bi
畐	fdqt· 一口田 ·bi
畁	dlc· 由丌 ·bi
贔	ooob· 貝貝貝 ·bi
珌	nhtp· 王心丿 ·bi
獙	mfhp· 犭㡀攵 ·bi
獘	fhmq· 㡀攵犬 ·bi
踾	pfdq· ⻊一口田 ·bi
蹕	pqlu· ⻊田艹 ·bi
躃	pcdn· ⻊尸口辛 ·bi
躄	cdnp· 尸口辛足 ·bi
熚	cqlu· 火田艹 ·bi
煏	cfdq· 火一口田 ·bi
潷	krbv· 氵⺮聿 ·bi
滭	kqlu· 氵田艹 ·bi
湢	kfdq· 氵一口田 ·bi
邲	htte· 心丿阝 ·bi
鄨	fhdm· 㡀攵口巴 ·bi
鄪	tote· 弗貝阝 ·bi
毴	vrf· 毛非 ·bi
榌	ecf· 木飛 ·bi
楅	efdq· 木一口田 ·bi
梐	evvg· 木匕土 ·bi
鉍	zhtp· 金心丿 ·bi
柲	ehtp· 木心丿 ·bi
柀	erp· 木皮 ·bi
枈	vvem· 匕木 ·bi
朼	evb· 木匕 ·bi
旇	lerp· 方𠂉皮 ·bi
斃	fhgv· 㡀攵歹匕 ·bi
鎞	ztrv· 金丿囗乂匕 ·bi
鏎	zqlu· 金田艹 ·bi
鐴	zcdn· 金尸口辛 ·bi
閇	afyb· 門一卜 ·bi
閈	aeg· 門干 ·bi
閉	antp· 門丿 ·bi
閟	ahtp· 門心丿 ·bi
愊	hfdq· 忄一口田 ·bi
闬	aeg· 门干 ·bi
怶	hrp· 忄皮 ·bi
怭	hhtp· 忄心丿 ·bi
彃	bqlu· 弓田艹 ·bi
弻	bfrb· 弓一囗人弓 ·bi
廦	xcdn· 广尸口辛 ·bi
鞞	tutn· 革白丿十 ·bi
鞸	tqlu· 革田艹 ·bi
幤	shrj· 尚攵巾 ·bi
幣	fhrj· 㡀攵巾 ·bi
韠	gqlu· 韋田艹 ·bi
崥	vutn· 山白丿十 ·bi
屄	cex· 尸穴 ·bi
飶	qhtp· 飠心丿 ·bi
娝	bcdk· 女不口 ·bi
饆	qqlu· 飠田艹 ·bi
妼	bhtp· 女心丿 ·bi
馝	xoht· 禾日心丿 ·bi
奰	yyym· 罒罒罒大 ·bi
夶	mmd· 大大 ·bi
駜	nhtp· 馬心丿 ·bi
壀	gcdn· 土尸口辛 ·bi
堛	gfdq· 土一口田 ·bi
驆	nqlu· 馬田艹 ·bi
坒	vvgt· 匕土 ·bi
髲	perp· 镸彡皮 ·bi
嗶	dqlu· 口田艹 ·bi
魓	aqlu· 鬼田艹 ·bi
鮅	whtp· 魚心丿 ·bi
啚	dnrd· 口十囗口 ·bi
鮩	whlc· 魚䒑廾 ·bi
鰏	wfdq· 魚一口田 ·bi
咇	dhtp· 口心丿 ·bi
鴓	htxn· 心丿鳥 ·bi
鵖	ixn· 鳥 ·bi
鶝	fdqx· 一口田鳥 ·bi
鷝	qlux· 田艹鳥 ·bi
鷩	fhxn· 㡀攵鳥 ·bi
鸊	cdnx· 尸口辛鳥 ·bi
偪	jfdq· 亻一口田 ·bi
鼊	cdnd· 尸口辛黽 ·bi
佖	jhtp· 亻心丿 ·bi
佊	jrp· 亻皮 ·bi
变	zcry· 亠又 ·bian
边	suc· 力辶 ·bian
遍	miuc· 户辶 ·bian
便	jfob· 亻一日 ·bian
编	imic· 纟户 ·bian
辨	npnx· 辛 ·bian
匾	nmic· 匸户 ·bian
辩	nsnx· 讠辛 ·bian
鞭	tjfb· 革亻一日 ·bian
贬	otri· 贝丿之 ·bian
卞	zyb· 亠卜 ·bian
扁	mic· 户 ·bian
辫	ninx· 纟辛 ·bian
汴	kzyb· 氵亠卜 ·bian
砭	mtri· 石丿之 ·bian
苄	lzyb· 艹亠卜 ·bian
煸	cmic· 火户 ·bian
忭	hzyb· 忄亠卜 ·bian
鳊	wmic· 鱼户 ·bian
蝙	cmic· 虫户 ·bian
褊	tmic· 衤户 ·bian
弁	klc· 厶廾 ·bian
笾	rsuc· ⺮力辶 ·bian
碥	mmic· 石户 ·bian
窆	etri· 穴丿之 ·bian
缏	ijfb· 纟亻一日 ·bian
抃	uzyb· 扌亠卜 ·bian
藊	lxmi· 艹禾户 ·bian
萹	lmic· 艹户 ·bian
艑	imic· 舟户 ·bian
臱	oelf· 自穴方 ·bian
覍	yej· 小見 ·bian
覵	avej· 門月見 ·bian
緶	ijfb· 糹亻一日 ·bian
編	imic· 糹户 ·bian
糄	pmic· 米户 ·bian
籩	roeu· ⺮自穴方辶 ·bian
箯	rjfb· ⺮亻一日 ·bian
稨	xmic· 禾户 ·bian
變	siih· 言糹糹攵 ·bian
豍	zutn· 豆白丿十 ·bian
貶	otri· 貝丿之 ·bian
疺	atri· 疒丿之 ·bian
玣	nzyb· 王亠卜 ·bian
獱	mwfo· 犭宀一貝 ·bian
猵	mmic· 犭户 ·bian
牑	amic· 片户 ·bian
辡	nnx· 辛 ·bian
辧	npnx· 刀辛 ·bian
辮	ninx· 糸辛 ·bian
辯	nsnx· 言辛 ·bian
邉	oedu· 自穴口辶 ·bian
邊	oelu· 自穴方辶 ·bian
邲	htte· 心丿阝 ·bian
汳	kxry· 氵⺁又 ·bian
釆	tpm· 丿米 ·bian
昪	oklc· 日厶廾 ·bian
鍽	zmic· 金户 ·bian
揙	umic· 扌户 ·bian
閞	aklc· 門厶廾 ·bian
惼	hmic· 忄户 ·bian
徧	wmic· 彳户 ·bian
鞕	tfob· 革一日 ·bian
頨	zwy· 羽頁 ·bian
変	zchi· 亠夊 ·bian
鯾	wjfb· 魚亻一日 ·bian
鯿	wmic· 魚户 ·bian
鴘	klxn· 厶廾鳥 ·bian
表	ati· 龶 ·biao
标	efs· 木示 ·biao
彪	zes· 虎彡 ·biao
飚	obcc· ⺇乂火火火 ·biao
裱	tati· 衤龶 ·biao
飙	mmmb· 犬犬犬⺇乂 ·biao
镖	zvfs· 钅覀示 ·biao
婊	bati· 女龶 ·biao
膘	vvfs· 月覀示 ·biao
骠	nvfs· 马覀示 ·biao
髟	pes· 镸彡 ·biao
镳	zxch· 钅鹿灬 ·biao
鳔	wvfs· 鱼覀示 ·biao
瘭	avfs· 疒覀示 ·biao
飑	obnv· ⺇乂勹巳 ·biao
杓	enid· 木勹丶 ·biao
灬	ch· 灬 ·biao
俵	jati· 亻龶 ·biao
摽	uvfs· 扌覀示 ·biao
瀌	kxch· 氵鹿灬 ·biao
藨	lxch· 艹鹿灬 ·biao
蔈	lvfs· 艹覀示 ·biao
臕	vxch· 月鹿灬 ·biao
膔	vxl· 月鹿 ·biao
脿	vati· 月龶 ·biao
褾	tvfs· 衤覀示 ·biao
穮	xxch· 禾鹿灬 ·biao
諘	sati· 言龶 ·biao
磦	mvfs· 石覀示 ·biao
謤	svfs· 言覀示 ·biao
贆	ommm· 貝犬犬犬 ·biao
猋	mmmq· 犬犬犬 ·biao
爂	pmfc· 冂一口冖火 ·biao
熛	cvfs· 火覀示 ·biao
滮	kzes· 氵虎彡 ·biao
淲	kzh· 氵虎 ·biao
檦	evfp· 木覀示刂 ·biao
標	evfs· 木覀示 ·biao
錶	zati· 金龶 ·biao
鏢	zvfs· 金覀示 ·biao
鑣	zxch· 金鹿灬 ·biao
幖	rvfs· 巾覀示 ·biao
颮	otcv· ⺇丿虫勹巳 ·biao
颷	otcc· ⺇丿虫火火 ·biao
飆	mmmc· 犬犬犬⺇丿虫 ·biao
飇	otcm· ⺇丿虫犬犬犬 ·biao
飈	otcc· ⺇丿虫火火火 ·biao
飊	cccc· 火火火⺇丿虫 ·biao
嫑	cvbn· 不覀女 ·biao
墂	gvfs· 土覀示 ·biao
驃	nvfs· 馬覀示 ·biao
驫	nnnm· 馬馬馬 ·biao
骉	nnnm· 马马马 ·biao
鰾	wvfs· 魚覀示 ·biao
麃	xch· 鹿灬 ·biao
儦	jxch· 亻鹿灬 ·biao
别	dspd· 口力刂 ·bie
憋	fhhx· 㡀攵心 ·bie
鳖	fhwv· 㡀攵鱼 ·bie
瘪	aojl· 疒自仑 ·bie
蹩	fhpu· 㡀攵足 ·bie
虌	lfhd· 艹㡀攵黽 ·bie
莂	ldsp· 艹口力刂 ·bie
蛂	cnri· 虫𠂇又丶 ·bie
苾	lhtp· 艹心丿 ·bie
蟞	fhcc· 㡀攵虫 ·bie
襒	tfhp· 衤㡀攵 ·bie
癟	aojl· 疒自侖 ·bie
柲	ehtp· 木心丿 ·bie
徶	wfhp· 彳㡀攵 ·bie
彆	fhbg· 㡀攵弓 ·bie
咇	dhtp· 口心丿 ·bie
鱉	fhwv· 㡀攵魚 ·bie
別	dppd· 口刀刂 ·bie
鼈	fhdm· 㡀攵黽 ·bie
龞	fhwg· 㡀攵龜 ·bie
斌	vfps· 文一弋止 ·bin
彬	eees· 木木彡 ·bin
宾	wthb· 宀 ·bin
滨	kwth· 氵宀 ·bin
槟	ewth· 木宀 ·bin
殡	gwth· 歹宀 ·bin
膑	vwth· 月宀 ·bin
濒	kssw· 氵止页 ·bin
鬓	pewh· 镸彡宀 ·bin
镔	zwth· 钅宀 ·bin
摈	uwth· 扌宀 ·bin
缤	iwth· 纟宀 ·bin
髌	fwth· 骨宀 ·bin
傧	jwth· 亻宀 ·bin
豳	vjjs· 山豕豕 ·bin
玢	nhpd· 王八刀 ·bin
赟	vfpo· 文一弋止贝 ·bin
虨	zeee· 虍木木彡 ·bin
臏	vwfo· 月宀一貝 ·bin
繽	iwfo· 糹宀一貝 ·bin
訜	shpd· 言八刀 ·bin
豩	jjs· 豕豕 ·bin
賓	wfso· 宀一貝 ·bin
賔	wcob· 宀貝 ·bin
贇	vfpo· 文一弋止貝 ·bin
璸	nwfo· 王宀一貝 ·bin
瑸	nwth· 王宀 ·bin
瀕	kssw· 氵止頁 ·bin
濵	kwco· 氵宀貝 ·bin
濱	kwfo· 氵宀一貝 ·bin
邠	hpte· 八刀阝 ·bin
汃	khb· 氵八 ·bin
殯	gwfo· 歹宀一貝 ·bin
檳	ewfo· 木宀一貝 ·bin
椕	ehpe· 木八刀木 ·bin
擯	uwfo· 扌宀一貝 ·bin
鑌	zwfo· 金宀一貝 ·bin
霦	teee· ⻗木木彡 ·bin
顮	wfsw· 宀一貝頁 ·bin
髕	fwfo· 骨宀一貝 ·bin
髩	pefa· 镸彡一丨㇗㇆ ·bin
鬂	peth· 镸彡 ·bin
鬢	pewo· 镸彡宀一貝 ·bin
儐	jwfo· 亻宀一貝 ·bin
并	hlc· 䒑廾 ·bing
病	afmj· 疒一冂人 ·bing
兵	thb·  ·bing
冰	wks· 冫水 ·bing
炳	cfmj· 火一冂人 ·bing
丙	fmjr· 一冂人 ·bing
秉	xbj· 禾 ·bing
饼	qhlc· 饣䒑廾 ·bing
柄	efmj· 木一冂人 ·bing
禀	zrdf· 亠囗口示 ·bing
摒	uchl· 扌尸䒑廾 ·bing
邴	fmjt· 一冂人阝 ·bing
疒	ab· 疒 ·bing
屏	chlc· 尸䒑廾 ·bing
槟	ewth· 木宀 ·bing
栟	ehlc· 木䒑廾 ·bing
蛃	cfmj· 虫一冂人 ·bing
苪	lfmj· 艹一冂人 ·bing
綆	ifob· 糹一日 ·bing
絣	ihlc· 糹䒑廾 ·bing
誁	shlc· 言䒑廾 ·bing
竝	iil· 立立 ·bing
窉	efmj· 穴一冂人 ·bing
稟	zrdx· 亠囗口禾 ·bing
眪	qfmj· 目一冂人 ·bing
癝	azrf· 疒亠囗口示 ·bing
癛	azrx· 疒亠囗口禾 ·bing
琕	nutn· 王白丿十 ·bing
氷	iks· 丶水 ·bing
檳	ewfo· 木宀一貝 ·bing
鈵	zfmj· 金一冂人 ·bing
棅	exbj· 木禾 ·bing
梹	ethb· 木 ·bing
栤	ewks· 木冫水 ·bing
鉼	zhlc· 金䒑廾 ·bing
昺	ofmj· 日一冂人 ·bing
昞	ofmj· 日一冂人 ·bing
掤	uvvy· 扌月月 ·bing
抦	ufmj· 扌一冂人 ·bing
陃	tfmj· 阝一冂人 ·bing
怲	hfmj· 忄一冂人 ·bing
靐	tqtq· ⻗田⻗田⻗田 ·bing
庰	xhlc· 广䒑廾 ·bing
鞞	tutn· 革白丿十 ·bing
幷	tete· 丿丿干 ·bing
鞸	tqlu· 革田艹 ·bing
屛	ctee· 尸丿丿干 ·bing
寎	wafj· 宀爿一冂人 ·bing
餅	qhlc· 飠䒑廾 ·bing
餠	qtee· 飠丿丿干 ·bing
鮩	whlc· 魚䒑廾 ·bing
傡	jiil· 亻立立 ·bing
偋	jchl· 亻尸䒑廾 ·bing
倂	jtee· 亻丿丿干 ·bing
併	jhlc· 亻䒑廾 ·bing
仒	jwb· 人⺀ ·bing
仌	jjr· 人人 ·bing
並	hcy· 䒑业 ·bing
波	krp· 氵皮 ·bo
博	nnkc· 十甫寸 ·bo
拨	usri· 扌又丶 ·bo
播	utpq· 扌丿米田 ·bo
搏	unkc· 扌甫寸 ·bo
伯	jub· 亻白 ·bo
勃	nwhs· 十冖子力 ·bo
卜	yb· 卜 ·bo
玻	nrp· 王皮 ·bo
泊	kub· 氵白 ·bo
柏	eub· 木白 ·bo
驳	nbbi· 马乂乂 ·bo
薄	lknk· 艹氵甫寸 ·bo
剥	bkpd· 氺刂 ·bo
脖	vnwh· 月十冖子 ·bo
钵	zefi· 钅木一 ·bo
亳	gtrq· 丿七 ·bo
跛	prp· ⻊皮 ·bo
铂	zub· 钅白 ·bo
箔	rkub· ⺮氵白 ·bo
渤	knws· 氵十冖子力 ·bo
舶	iub· 舟白 ·bo
帛	urj· 白巾 ·bo
簸	rzhr· ⺮皮 ·bo
钹	znri· 钅𠂇又丶 ·bo
啵	dkrp· 口氵皮 ·bo
擘	cdnu· 尸口辛手 ·bo
菠	lkrp· 艹氵皮 ·bo
膊	vnkc· 月甫寸 ·bo
般	irs· 舟殳 ·bo
魄	uag· 白鬼 ·bo
礴	mlkk· 石艹氵甫寸 ·bo
饽	qnwh· 饣十冖子 ·bo
檗	cdne· 尸口辛木 ·bo
鹁	nwhx· 十冖子鸟 ·bo
踣	pidk· ⻊立口 ·bo
孛	nwhi· 十冖子 ·bo
掰	uhpu· 龵八刀手 ·bo
趵	pnid· ⻊勹丶 ·bo
镈	znkc· 钅甫寸 ·bo
僰	emej· 木冂木冂人 ·bo
嶓	vtpq· 山丿米田 ·bo
浡	knwh· 氵十冖子 ·bo
茀	ltf· 艹弗 ·bo
袚	tnri· 衤𠂇又丶 ·bo
鲌	wub· 鱼白 ·bo
蔢	lkrb· 艹氵皮女 ·bo
蔔	lnfq· 艹勹一口田 ·bo
蘗	lcde· 艹尸口辛木 ·bo
葧	lnws· 艹十冖子力 ·bo
萡	lkub· 艹氵白 ·bo
蚾	crp· 虫皮 ·bo
苩	lub· 艹白 ·bo
艊	iurj· 舟白巾 ·bo
胉	vub· 月白 ·bo
肑	vnid· 月勹丶 ·bo
袯	tsri· 衤又丶 ·bo
袹	tfub· 衤一白 ·bo
缽	aefi· 缶木一 ·bo
襎	ttpq· 衤丿米田 ·bo
襏	thbr· 衤癶弓殳 ·bo
襮	tolk· 衤日龷八氺 ·bo
紴	irp· 糹皮 ·bo
糪	cdnp· 尸口辛米 ·bo
簙	rnnk· ⺮十甫寸 ·bo
箥	rkrp· ⺮氵皮 ·bo
詙	snri· 言𠂇又丶 ·bo
秡	xnri· 禾𠂇又丶 ·bo
礡	mlnk· 石艹甫寸 ·bo
磻	mtpq· 石丿米田 ·bo
碆	krms· 氵皮石 ·bo
砵	mefi· 石木一 ·bo
譒	stpq· 言丿米田 ·bo
豰	gwfr· 士冖一豕殳 ·bo
盋	nria· 𠂇又丶皿 ·bo
發	hbrs· 癶弓殳 ·bo
癶	hb· 癶 ·bo
瓟	ynvs· 瓜勹巳 ·bo
瓝	ynid· 瓜勹丶 ·bo
猼	mnkc· 犭甫寸 ·bo
狛	mub· 犭白 ·bo
犻	mfrj· 犭一巾 ·bo
犦	qolk· 牜日龷八氺 ·bo
牔	ankc· 片甫寸 ·bo
蹳	phbr· ⻊癶弓殳 ·bo
煿	cnkc· 火甫寸 ·bo
潑	khbr· 氵癶弓殳 ·bo
溊	kcmr· 氵二コ又 ·bo
湐	keub· 氵木白 ·bo
淿	kurj· 氵白巾 ·bo
郣	nwht· 十冖子阝 ·bo
欂	elkk· 木艹氵甫寸 ·bo
檘	ecdn· 木尸口辛 ·bo
鈸	znri· 金𠂇又丶 ·bo
桲	enwh· 木十冖子 ·bo
鉑	zub· 金白 ·bo
鉢	zefi· 金木一 ·bo
柭	enri· 木𠂇又丶 ·bo
鋍	znwh· 金十冖子 ·bo
鎛	znkc· 金甫寸 ·bo
撥	uhbr· 扌癶弓殳 ·bo
挬	unwh· 扌十冖子 ·bo
鑮	zlkk· 金艹氵甫寸 ·bo
懪	holk· 忄日龷八氺 ·bo
愽	hnkc· 忄甫寸 ·bo
彴	wnid· 彳勹丶 ·bo
帗	rnri· 巾𠂇又丶 ·bo
孹	cdnh· 尸口辛子 ·bo
餑	qnwh· 飠十冖子 ·bo
餺	qnkc· 飠甫寸 ·bo
馎	qnkc· 饣甫寸 ·bo
妭	bnri· 女𠂇又丶 ·bo
馛	xoni· 禾日𠂇又丶 ·bo
馞	xonh· 禾日十冖子 ·bo
駁	nbbi· 馬乂乂 ·bo
駮	nabi· 馬六乂 ·bo
壆	pbbg· 乂乂冖土 ·bo
驋	nhbr· 馬癶弓殳 ·bo
髆	fnkc· 骨甫寸 ·bo
髉	fwui· 骨冖隹 ·bo
嚗	dolk· 口日龷八氺 ·bo
噃	dtpq· 口丿米田 ·bo
鮁	wnri· 魚𠂇又丶 ·bo
鮊	wub· 魚白 ·bo
哱	dnwh· 口十冖子 ·bo
鱍	whbr· 魚癶弓殳 ·bo
鵓	nwhx· 十冖子鳥 ·bo
剝	bkpd· 彑氺刂 ·bo
僠	jtpq· 亻丿米田 ·bo
侼	jnwh· 亻十冖子 ·bo
仢	jnid· 亻勹丶 ·bo
不	cb· 不 ·bu
部	idte· 立口阝 ·bu
补	tyb· 衤卜 ·bu
步	ssi· 止 ·bu
布	nrj· 𠂇巾 ·bu
卜	yb· 卜 ·bu
簿	rknk· ⺮氵甫寸 ·bu
埠	gtkn· 土丿㠯十 ·bu
捕	unf· 扌甫 ·bu
钚	zcb· 钅不 ·bu
哺	dnf· 口甫 ·bu
卟	dyb· 口卜 ·bu
逋	nuc· 甫辶 ·bu
怖	hnrj· 忄𠂇巾 ·bu
堡	jdeg· 亻口木土 ·bu
埔	gnf· 土甫 ·bu
晡	onf· 日甫 ·bu
瓿	idrw· 立口瓦 ·bu
醭	ycgi· 酉业⺶㇏ ·bu
钸	znrj· 钅𠂇巾 ·bu
蔀	lidt· 艹立口阝 ·bu
荹	lssi· 艹止 ·bu
補	tnf· 衤甫 ·bu
篰	ridt· ⺮立口阝 ·bu
箁	ridk· ⺮立口 ·bu
誧	snf· 言甫 ·bu
秿	xnf· 禾甫 ·bu
獛	mcgi· 犭业⺶㇏ ·bu
踄	pssi· ⻊止 ·bu
輹	yeoh· 車𠂉日夊 ·bu
轐	ycgi· 車业⺶㇏ ·bu
郶	iddm· 立口口巴 ·bu
歩	sytp· 止𡭔丿 ·bu
歨	ssi· 止龰 ·bu
鈈	zcb· 金不 ·bu
鈽	znrj· 金𠂇巾 ·bu
柨	enrj· 木𠂇巾 ·bu
撲	ucgi· 扌业⺶㇏ ·bu
捗	ussi· 扌止 ·bu
抪	unrj· 扌𠂇巾 ·bu
陠	tnf· 阝甫 ·bu
悑	hnf· 忄甫 ·bu
廍	xidt· 广立口阝 ·bu
庯	xnf· 广甫 ·bu
巭	ushf· 工力夫 ·bu
峬	vnf· 山甫 ·bu
尃	nkc· 甫寸 ·bu
餔	qnf· 飠甫 ·bu
餢	qidk· 飠立口 ·bu
婄	bidk· 女立口 ·bu
埗	gssi· 土止 ·bu
咘	dnrj· 口𠂇巾 ·bu
吥	dcb· 口不 ·bu
鳪	yxn· 卜鳥 ·bu
鵏	nxn· 甫鳥 ·bu
勏	idsl· 立口力 ·bu
鸔	xolk· 鳥日龷八氺 ·bu
佈	jnrj· 亻𠂇巾 ·bu
㔜	yhsl· 爫子力 ·ba
㖠	dmfs· 口大示 ·ba
㞎	cmb· 尸巴 ·ba
㧊	ufrj· 扌一巾 ·ba
㶚	kvtv· 氵覀革月 ·ba
䃻	mttv· 石⻗革月 ·ba
䆉	xykv· 禾罒厶⺝匕 ·ba
䇑	iutn· 立白丿十 ·ba
䎬	aygk· 耒罒土厶 ·ba
䎱	aykv· 耒罒厶⺝匕 ·ba
䟦	ptnr· ⻊丿𠂇又 ·ba
䥯	zykv· 金罒厶⺝匕 ·ba
䩗	tvy· 革月 ·ba
䩻	tnm· 革馬 ·ba
䰾	wmb· 魚巴 ·ba
䱝	wutn· 魚白丿十 ·ba
䳁	xnri· 鳥𠂇又丶 ·ba
䳊	nrix· 𠂇又丶鳥 ·ba
㗑	dufa· 口龵一丰 ·bai
㗗	dsun· 口力白丿十 ·bai
㠔	vcdn· 山尸口辛 ·bai
㼟	urw· 白瓦 ·bai
㿟	uub· 白白 ·bai
䒔	lhb· 艹八 ·bai
䙓	tygk· 衤罒土厶 ·bai
䢙	ouc· 貝辶 ·bai
䥯	zykv· 金罒厶⺝匕 ·bai
䳆	uxn· 白鳥 ·bai
䴽	ejjn· 木人人夂白丿十 ·bai
㚘	hhf· 夫夫 ·ban
㩯	ueki· 扌𠂉母攵糸 ·ban
㪵	hujd· 丷斗 ·ban
㸞	aap· 片片 ·ban
㺜	myfc· 犭曲辰 ·ban
䉽	phus· 米丷 ·ban
䕰	lctq· 艹火丿米田 ·ban
䬳	qhus· 飠丷 ·ban
㔙	hlsl· 䒑廾力 ·bang
㭋	eaf· 木丰 ·bang
㮄	eznl· 木亠勹方 ·bang
㯁	etid· 木阝立口 ·bang
㾦	aidk· 疒立口 ·bang
䂜	maf· 石丰 ·bang
䎧	aidk· 耒立口 ·bang
䖫	cheg· 虫八干 ·bang
䟺	pob· ⻊貝 ·bang
䧛	tiwl· 阝冖方 ·bang
䰷	waf· 魚丰 ·bang
㙅	gdem· 土口木 ·bao
㙸	gjci· 土亻业⺶㇏ ·bao
㫧	opm· 日米 ·bao
㲏	avm· 片毛 ·bao
㲒	gvm· 句毛 ·bao
㵡	ktnv· 氵⻗勹巳 ·bao
㻄	ntts· 王丿疋 ·bao
㿺	olhr· 日龷八氺皮 ·bao
䈏	rfdq· ⺮一口田 ·bao
䎂	znvs· 羽勹巳 ·bao
䤖	yolk· 酉日龷八氺 ·bao
䥤	ztnv· 金⻗勹巳 ·bao
䨌	tmpe· ⻗二儿 ·bao
䨔	tmg· ⻗光 ·bao
䪨	xnid· 音勹丶 ·bao
䭋	qjde· 飠亻口木 ·bao
䳈	xnvs· 鳥勹巳 ·bao
䳰	jdex· 亻口木鳥 ·bao
䴐	wnax· 宀王缶貝鳥 ·bao
㓈	wms· 冫石 ·bei
㔨	navv· 勹匕⺝ ·bei
㛝	bob· 女貝 ·bei
㣁	bltt· 弓龷丿 ·bei
㤳	hcdk· 忄不口 ·bei
㰆	ndwe· 十口冖非木 ·bei
㱯	gvzd· 歹山豆 ·bei
㶔	kyym· 氵罒罒罒大 ·bei
㷶	jltc· 亻龷丿灬 ·bei
㸢	altt· 片龷丿 ·bei
㸬	qfrj· 牜一巾 ·bei
㸽	qob· 牜貝 ·bei
㻗	rnid· 非王丶 ·bei
㼎	yabi· 瓜六乂 ·bei
㾱	ahmp· 疒癶二儿 ·bei
䁅	qham· 目子皿 ·bei
䋳	iavv· 糹匕⺝ ·bei
䔒	ltid· 艹阝立口 ·bei
䟺	pob· ⻊貝 ·bei
䠙	piwl· ⻊冖方 ·bei
䡶	ycdn· 車尸口辛 ·bei
䩀	rob· 非貝 ·bei
䰽	wfrj· 魚一巾 ·bei
㡷	xefi· 广木一 ·ben
㤓	hefi· 忄木一 ·ben
㨧	ukmq· 扌厶大田 ·ben
㮺	efdd· 木一口口口 ·ben
㱵	gnlo· 歹十艹貝 ·ben
䬱	qefi· 飠木一 ·ben
㑟	jthb· 亻 ·beng
㛝	bob· 女貝 ·beng
㱶	ghes· 歹彡 ·beng
㷯	cgau· 火土㇏ ·beng
䋽	iggk· 糹土土寸 ·beng
䙀	tvvy· 衤月月 ·beng
䨻	tqtq· ⻗田⻗田⻗田⻗田 ·beng
䩬	taiu· 革㇏ ·beng
䭰	xoau· 禾日㇏ ·beng
䳞	aiux· 丶鳥 ·beng
㓖	wqlu· 冫田艹 ·bi
㕭	dtmd· 口丿大 ·bi
㗉	apsg· 丰刀各 ·bi
㘠	rhtp· 囗心丿 ·bi
㙄	gvvg· 土匕土 ·bi
㚰	bcfi· 女不一 ·bi
㠲	rvb· 巾匕 ·bi
㡀	fb· 㡀 ·bi
㡙	rtrv· 巾丿囗乂匕 ·bi
㢰	brp· 弓皮 ·bi
㢶	bfub· 弓一白 ·bi
㢸	bbhp· 弓弓攵 ·bi
㧙	uhtp· 扌心丿 ·bi
㪏	utnh· 白丿十攴 ·bi
㪤	qluh· 田艹攵 ·bi
㮄	eznl· 木亠勹方 ·bi
